HIP,MH,eMH,Teff,eTeff,logg,elogg,L_hip,eL,label,Notes
85670,0.04,0.086,5428,100,2.675,0.308,937.230109421,35.1334272595,field,SONG
85715,0.101,0.041,5093,50,2.894,0.091,81.6138677517,5.8429356755,field,SONG
87847,-0.005,0.042,4755,58,2.357,0.135,116.709188931,9.7844223605,field,SONG
88048,0.181,0.043,4959,55,2.558,0.129,104.162618197,3.9517285214,field,SONG
89047,0.073,0.026,4993,39,3.386,0.079,10.5152052264,0.4131822578,host,SONG
89962,-0.135,0.019,4984,24,3.092,0.064,17.9677855514,0.5409576125,field,SONG
90067,-0.136,0.034,4464,67,2.119,0.181,136.73858177,10.2491191729,field,SONG
90344,-0.401,0.026,4464,48,2.046,0.12,152.999828427,7.4210620754,host,SONG
90496,-0.077,0.027,4760,39,2.673,0.108,49.6031536742,1.505117158,field,SONG
91105,0.102,0.035,5183,39,2.938,0.106,88.1206714657,5.2984004509,field,SONG
92782,-0.029,0.037,4636,57,2.321,0.148,163.574187348,16.2547442371,field,SONG
92997,0.073,0.043,4572,84,2.515,0.201,50.1031670685,2.7224778068,field,SONG
93864,-0.155,0.037,4506,67,2.152,0.174,88.3118018603,6.228764287,field,SONG
94302,0.175,0.053,4969,71,2.854,0.142,101.902695931,6.1511257056,field,SONG
96327,-0.003,0.066,5004,82,2.726,0.215,178.275020261,17.3123822932,field,SONG
96459,0.063,0.025,5034,34,3.324,0.099,14.5376561394,0.5003725849,field,SONG
96481,-0.068,0.068,5489,77,2.29,0.208,497.737294859,156.112639885,field,SONG
96837,-0.006,0.073,4928,95,2.492,0.288,336.4364922,25.5629836659,field,SONG
97938,-0.172,0.034,4765,49,2.556,0.114,47.819233075,2.0992584146,field,SONG
98571,0.107,0.053,4801,70,2.367,0.152,190.090315293,12.0066234482,field,SONG
99031,0.032,0.027,5183,36,3.74,0.063,3.9057471697,0.1276594341,field,SONG
99951,0.125,0.054,5206,64,3.021,0.117,131.121501526,10.2540819937,field,SONG
103294,-0.119,0.046,4677,62,2.1,0.153,220.696794668,18.077785463,field,SONG
105515,0.079,0.047,5274,56,3.21,0.112,66.334179779,2.9086155989,field,SONG
105854,0.088,0.051,4612,88,2.266,0.258,45.801808315,2.6604572333,host,SONG
108868,0.043,0.04,4995,50,2.755,0.108,53.1450897175,3.7089901502,field,SONG
109352,-0.126,0.03,4931,36,2.644,0.106,48.3984428433,2.9364754074,field,SONG
109572,0.082,0.12,6293,187,4.112,0.217,8.8115055292,0.2845341814,field,SONG
109577,0.087,0.03,5001,41,3.26,0.092,12.9975500354,0.6751987993,field,SONG
109754,0.001,0.058,4324,124,1.881,0.352,536.900048334,76.3034599012,field,SONG
110003,0.178,0.036,5022,43,2.777,0.116,72.6825377021,2.8714477953,field,SONG
112731,-0.485,0.021,4476,37,2.133,0.113,137.753371396,9.3132381709,field,SONG
113148,0.217,0.043,4714,71,3.097,0.174,12.3888799286,0.6774027409,field,SONG
114341,-0.088,0.039,4526,68,1.967,0.173,309.892364343,14.5193318002,field,SONG
114855,0.05,0.037,4742,62,2.701,0.146,49.7612639747,1.9727574792,host,SONG
115126,0.203,0.028,5527,38,4.005,0.064,3.2670042308,0.3540822696,field,SONG
116727,0.131,0.035,4801,60,3.219,0.135,11.7172283656,0.3685171659,host,SONG
118209,0.102,0.043,5202,53,3.227,0.078,55.4484206698,2.7627829075,field,SONG
