HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
108868,0.043,0.04,4995,50,2.755,0.108,53.1450897175,3.7089901502,field,108868,0.9015,0.6776,1.0986,2.2845,2.1009,2.4579,2.8033,2.7555,2.8448,9.7371,9.3997,10.0762,-2.6243,-2.6825,-2.5712,2.755,2.8033
109352,-0.126,0.03,4931,36,2.644,0.106,48.3984428433,2.9364754074,field,109352,1.1638,1.0891,1.2655,1.9238,1.8593,1.9878,2.74,2.6976,2.7805,9.6091,9.2838,9.9355,-2.6832,-2.7376,-2.6264,2.644,2.74
109572,0.082,0.12,6293,187,4.112,0.217,8.8115055292,0.2845341814,field,109572,1.7064,1.4991,2.071,1.6208,1.5429,1.683,3.8643,3.8297,3.9157,2.4023,2.2802,2.5074,-0.9554,-1.0078,-0.8824,4.112,3.8643
109577,0.087,0.03,5001,41,3.26,0.092,12.9975500354,0.6751987993,field,109577,1.9314,1.6248,2.2511,1.6453,1.5749,1.7418,3.2751,3.2406,3.3114,4.7993,4.6628,4.9379,-1.8448,-1.8898,-1.7982,3.26,3.2751
109754,0.001,0.058,4324,124,1.881,0.352,536.900048334,76.3034599012,field,109754,0.4209,0.24,1.0373,3.0091,2.1223,3.5212,1.6969,1.5255,1.8043,39.7228,36.4524,43.3346,-4.3462,-4.5367,-4.2032,1.881,1.6969
110003,0.178,0.036,5022,43,2.777,0.116,72.6825377021,2.8714477953,field,110003,0.5064,0.4487,0.5701,2.7818,2.7075,2.8505,2.7452,2.7259,2.7629,11.466,11.2252,11.7144,-2.7534,-2.7801,-2.7273,2.777,2.7452
112731,-0.485,0.021,4476,37,2.133,0.113,137.753371396,9.3132381709,field,112731,5.2357,3.9129,7.1301,1.112,1.0175,1.212,1.916,1.8687,1.9599,18.8548,18.1829,19.5515,-3.7984,-3.8559,-3.7442,2.133,1.916
113148,0.217,0.043,4714,71,3.097,0.174,12.3888799286,0.6774027409,field,113148,6.5748,4.2916,9.7909,1.2163,1.0895,1.3675,3.073,3.0059,3.1452,5.1977,5.0119,5.3882,-2.0816,-2.1609,-1.9967,3.097,3.073
114341,-0.088,0.039,4526,68,1.967,0.173,309.892364343,14.5193318002,field,114341,0.5123,0.3699,0.7628,2.689,2.4076,2.9618,1.946,1.8771,2.0097,28.2907,27.2967,29.3037,-3.9447,-4.026,-3.8677,1.967,1.946
114855,0.05,0.037,4742,62,2.701,0.146,49.7612639747,1.9727574792,host,114855,2.0032,1.3107,8.8134,1.6399,1.0353,1.92,2.577,2.3781,2.7074,10.519,9.9569,10.8877,-2.8934,-3.0867,-2.7295,2.701,2.577
115126,0.203,0.028,5527,38,4.005,0.064,3.2670042308,0.3540822696,field,115126,6.7142,5.9748,7.499,1.1725,1.136,1.2116,3.9471,3.9176,3.9779,1.8661,1.7756,1.96,-0.7626,-0.8132,-0.7105,4.005,3.9471
116727,0.131,0.035,4801,60,3.219,0.135,11.7172283656,0.3685171659,host,116727,4.7843,3.3709,6.9301,1.3004,1.1746,1.4317,3.1584,3.0963,3.2179,4.8736,4.7471,5.0038,-1.9683,-2.0402,-1.8989,3.219,3.1584
118209,0.102,0.043,5202,53,3.227,0.078,55.4484206698,2.7627829075,field,118209,0.4593,0.4508,0.4716,2.7448,2.71,2.7834,2.9966,2.9886,3.01,8.5367,8.3704,8.6777,-2.3741,-2.3888,-2.3534,3.227,2.9966
