HIP,ra,dec,parallax,err(parallax),V,I,B-V,err(B-V),teff,lum,rad,numax,Mv,RA,Dec,V.1,Camp,HD,label,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID,Ang Sep (')
HIP3738,12.00198,-0.242404,2.49,0.94,8.53,7.648,0.968,0.015,4906.5364035,66.7535778826,11.326401653,29.8287601252,0.510996735479,12.00198,-0.242404,8.53,8.0,4606.0,field,220193730,12.0019808,-0.242403,0,8.369,3738.0,4673-541-1,449-000992,00480047-0014327,,STAR,gri,,4.68,1.0,-6.81,0.65,2.49,0.94,9.476,0.02,8.488,0.013,,,9.08,0.19,8.421,0.2,8.065,0.16,,,6.882,0.021,6.45,0.031,6.317,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,24.8,,0.007
HIP3743,12.010228,5.103537,2.5,1.02,8.97,8.005,1.132,0.04,4601.6949375,52.5384438499,11.4237236581,27.6778578972,0.95970004336,12.010228,5.103537,8.97,8.0,,field,220419937,12.0102282,5.1035371,1,8.753,3743.0,17-572-1,476-001242,00480244+0506128,,STAR,gri,plx,0.11,0.94,-0.9,0.74,2.5,1.02,10.107,0.045,8.989,0.023,,,9.725,0.05,9.145,0.06,8.336,0.06,,,6.996,0.024,6.418,0.026,6.272,0.021,,,,,,,,,4769.0,96.0,96.0,2.196,0.25,0.5,-0.902,0.49,0.35,12.373,8.351,2.813,0.898,0.201,0.026,0.0004395,0.000522,0.000361,400.0,163.2,163.2,0.041,0.027,0.019,AAA-111-111-000-0-0,,,0.001
HIP3758,12.056508,2.729526,3.21,0.82,8.71,7.91,0.892,0.022,5064.92577378,32.0844538978,7.36895476463,68.0297135237,1.24252516202,12.056508,2.729526,8.71,8.0,4629.0,field,220304398,12.056509,2.729526,1,8.497,3758.0,14-86-1,464-001104,00481355+0243463,,STAR,BV,plx,21.86,0.84,1.54,0.59,3.21,0.82,9.614,0.025,8.717,0.015,,,,,,,,,,,7.056,0.027,6.59,0.026,6.452,0.021,,,,,,,,,4878.0,139.0,119.0,2.622,0.228,0.266,-0.127,0.2,0.48,9.951,1.086,1.344,1.713,0.433,0.779,0.002,0.001,0.0006862,311.5,79.58,79.58,0.032,0.024,0.011,AAA-111-111-000-0-0,,,0.0005871
HIP3793,12.183428,1.013377,4.98,1.1,9.71,9.063,0.635,0.038,5768.35035891,4.42779539169,2.11054805743,774.86955454,3.1961467138,12.183428,1.013377,9.71,8.0,,field,220228790,12.1834288,1.013378,1,9.628,3793.0,11-803-1,456-001016,00484402+0100482,,STAR,gri,plx,7.48,1.23,-42.36,0.87,4.98,1.1,10.298,0.034,9.705,0.027,,,9.917,0.05,9.571,0.05,9.504,0.12,,,8.687,0.018,8.477,0.036,8.347,0.026,,,,,,,,,6391.0,194.0,194.0,4.058,0.15,0.15,0.002,0.12,0.18,1.7,0.507,0.289,1.336,0.158,0.132,0.236,0.165,0.111,200.8,44.35,44.35,0.029,0.024,0.012,AAA-111-111-000-0-0,,,0.006
HIP3968,12.754256,8.336327,3.52,1.33,8.98,8.089,1.072,0.04,4709.11631438,24.6410855814,7.47060576198,62.0280747074,1.71271331739,12.754256,8.336327,8.98,8.0,4887.0,field,220568814,12.7542505,8.3363256,1,8.842,3968.0,604-876-1,492-001282,00510102+0820106,,STAR,gri,plx,-2.37,1.34,-12.82,0.81,3.52,1.33,10.129,0.048,8.967,0.023,,,9.821,0.03,9.438,0.04,8.422,0.14,,,7.105,0.027,6.574,0.038,6.396,0.04,,,,,,,,,5371.0,156.0,187.0,2.462,0.066,0.055,-1.432,0.25,0.95,9.052,0.202,0.674,0.867,0.017,0.061,0.001,0.0003213,0.0001469,284.1,107.3,107.3,0.032,0.022,0.008,AAA-111-111-000-0-0,,,4.976e-05
HIP3972,12.765746,6.899847,5.3,0.7,7.96,7.119,0.931,0.015,4981.76237857,23.8862833277,6.57223384526,82.7971914077,1.581379348,12.765746,6.899847,7.96,8.0,4898.0,field,220505841,12.7657461,6.899847,1,8.349,3972.0,18-513-1,485-001212,00510377+0653593,,STAR,gri,plx,7.26,0.73,9.87,0.53,5.3,0.7,8.864,0.019,7.938,0.013,,,9.688,0.03,8.87,0.04,7.775,0.02,,,6.376,0.023,5.861,0.027,5.758,0.02,,,,,,,,,4831.0,95.0,95.0,2.825,0.108,0.234,-0.151,0.16,0.32,7.874,1.867,1.509,1.337,0.696,0.348,0.003,0.002,0.001,188.7,24.92,24.92,0.027,0.022,0.01,AAA-111-111-000-0-0,,,0.0002316
HIP3992,12.826348,3.385017,7.25,0.47,6.39,5.57,1.069,0.001,4714.58898681,62.9081560679,11.9088695533,26.2059637603,0.691690032855,12.826348,3.385017,6.39,8.0,4928.0,field,220335172,12.8263474,3.3850181,0,6.175,3992.0,15-1194-1,467-001186,,,STAR,BV,,21.04,0.47,-64.34,0.34,7.25,0.47,7.449,0.016,6.368,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000877
HIP4013,12.867412,-1.284413,3.64,1.29,9.52,8.689,0.87,0.005,5113.8834434,11.6224811409,4.35063360012,181.936953304,2.32550691825,12.867412,-1.284413,9.52,8.0,,field,220168079,12.8674154,-1.284413,1,9.277,4013.0,4674-122-1,444-001067,00512817-0117038,,STAR,gri,plx,32.4,1.27,1.48,0.89,3.64,1.29,10.369,0.036,9.532,0.023,,,9.899,0.05,9.246,0.06,9.011,0.07,,,7.949,0.024,7.486,0.04,7.373,0.023,,,,,,,,,5013.0,152.0,91.0,2.751,0.567,0.405,-0.635,0.35,0.35,6.702,3.442,3.249,0.951,0.291,0.063,0.003,0.014,0.002,274.7,97.36,97.36,0.03,0.022,0.011,AAA-111-111-000-0-0,,,9.216e-05
HIP4094,13.137099,8.665418,4.93,1.2,8.67,7.79,1.01,0.026,4824.67599226,15.6616009939,5.6739630955,105.509840035,2.13423459639,13.137099,8.665418,8.67,8.0,5052.0,field,220583285,13.1371002,8.6654177,1,8.797,4094.0,605-584-1,494-001183,00523290+0839555,,STAR,gri,plx,86.7,1.16,-13.74,0.72,4.93,1.2,9.654,0.029,8.635,0.017,,,9.726,0.03,9.238,0.04,8.399,0.06,,,6.933,0.026,6.423,0.036,6.307,0.021,,,,,,,,,5211.0,166.0,83.0,2.568,0.26,0.13,-1.167,0.2,0.2,7.877,1.506,2.128,0.876,0.021,0.018,0.002,0.003,0.000613,202.8,49.37,49.37,0.024,0.02,0.005,AAA-111-111-000-0-0,,,0.001
HIP4113,13.183102,7.701936,4.18,1.04,8.56,7.898,0.684,0.021,5608.37797198,18.664193701,4.58389648681,179.820090005,1.66588140888,13.183102,7.701936,8.56,8.0,5075.0,field,220541582,13.1831007,7.7019358,1,8.894,4113.0,605-1017-1,489-001235,00524395+0742070,,STAR,gri,plx,79.23,1.03,-16.24,0.69,4.18,1.04,9.25,0.024,8.559,0.017,,,9.721,0.03,9.295,0.04,8.54,0.06,,,7.392,0.019,7.13,0.059,7.001,0.018,,,,,,,,,6159.0,147.0,295.0,3.667,0.08,0.32,0.011,0.12,0.09,3.204,1.724,0.452,1.68,0.238,0.149,0.051,0.023,0.035,239.2,59.52,59.52,0.033,0.018,0.013,AAA-111-111-000-0-0,,,0.001
