HIP,ra,dec,parallax,err(parallax),V,I,B-V,err(B-V),teff,lum,rad,numax,Mv,RA,Dec,V.1,Camp,HD,label,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID,Ang Sep (')
HIP42943,131.300062,15.341952,10.37,0.8,8.11,7.405,0.753,0.015,5405.71435536,4.80490097537,2.50346064919,532.251291504,3.18889378195,131.300062,15.341952,8.11,16.0,74567.0,field,211657869,131.300061,15.341952,0,8.429,42943.0,1393-234-1,527-047908,08451201+1520310,,STAR,gri,,-16.9,0.9,1.02,0.66,10.37,0.8,8.857,0.018,8.124,0.013,,,9.735,0.03,8.866,0.04,7.869,0.1,,,6.731,0.02,6.371,0.021,6.313,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006
HIP42950,131.332044,15.046927,9.39,0.71,7.78,7.182,0.574,0.014,5987.1101062,7.1341205413,2.48679775352,591.966736868,2.64332796133,131.332044,15.046927,7.78,5.0,74590.0,field,211636364,131.332045,15.046927,1,8.351,42950.0,1393-299-1,526-048917,08451971+1502489,,STAR,gri,plx,-26.45,0.76,-35.9,0.59,9.39,0.71,8.326,0.016,7.78,0.012,,,9.582,0.03,8.749,0.04,7.824,0.1,,,6.72,0.023,6.53,0.029,6.461,0.023,,,,,,,,,6531.0,264.0,264.0,3.933,0.07,0.07,0.026,0.12,0.12,2.182,0.169,0.132,1.54,0.064,0.077,0.14,0.034,0.032,104.3,3.429,3.429,0.016,0.005,0.004,,,,0.003
HIP43053,131.570427,23.86005,4.39,1.4,9.74,8.967,0.89,0.067,5069.3117605,6.63220664574,3.34453509815,293.578488458,2.95232260121,131.570427,23.86005,9.74,16.0,,field,212184576,131.57043,23.860049,0,9.874,43053.0,1943-1481-1,570-044956,08461689+2351361,,STAR,gri,plx,28.31,1.96,10.22,1.12,4.39,1.4,10.664,0.055,9.804,0.035,,,10.57,0.04,9.647,0.06,9.575,0.6,,,8.211,0.021,7.746,0.033,7.639,0.02,,,,,,,,,4832.0,97.0,97.0,2.87,0.51,0.425,-0.062,0.15,0.21,6.87,4.119,3.311,1.344,0.618,0.221,0.004,0.016,0.003,227.8,72.64,72.64,0.031,0.01,0.007,,,,0.002
HIP43275,132.243522,22.245863,2.22,1.3,9.39,8.35,1.148,0.042,4573.62527961,46.0485156688,10.8265825986,30.3964563775,1.12176487225,132.243522,22.245863,9.39,5.0,,field,212111382,132.243527,22.245864,1,9.264,43275.0,1399-244-1,562-046560,08485843+2214450,,STAR,gri,plx,-13.9,1.58,7.34,0.95,2.22,1.3,10.452,0.039,9.373,0.02,,,10.266,0.03,9.505,0.04,8.835,0.06,,,7.468,0.023,6.909,0.061,6.775,0.018,,,,,,,,,4731.0,94.0,94.0,2.254,0.264,0.616,-0.737,0.48,0.48,11.923,10.218,2.365,0.951,0.291,0.086,0.0005214,0.0006406,0.0004511,450.5,263.8,263.8,0.032,0.011,0.008,,,,0.002
HIP43387,132.577572,11.407847,2.24,1.23,8.75,7.768,1.166,0.032,4542.30094116,83.1924079469,14.7534902559,17.038478119,0.501240091671,132.577572,11.407847,8.75,5.0,,field,211385284,132.57757,11.407848,1,8.782,43387.0,813-2055-1,508-049148,08501862+1124283,,STAR,gri,plx,-3.69,1.17,-5.09,0.9,2.24,1.23,9.935,0.033,8.717,0.017,,,9.993,0.13,8.898,0.01,8.263,0.2,,,6.8,0.02,6.263,0.021,6.129,0.016,,,,,,,,,4652.0,111.0,93.0,2.469,0.133,0.095,0.022,0.12,0.18,11.599,1.427,0.724,1.505,0.365,0.304,0.0009177,0.0003608,0.0002215,446.4,245.1,245.1,0.031,0.011,0.007,,,,0.0007856
HIP43448,132.739266,15.901125,3.29,1.02,8.87,8.056,0.891,0.028,5067.11719802,26.336247706,6.6705214604,81.8232585626,1.45597948975,132.739266,15.901125,8.87,5.0,,field,211698952,132.739266,15.901125,1,8.882,43448.0,1393-1802-1,530-048624,08505743+1554040,,STAR,gri,plx,-7.85,1.21,-39.07,0.8,3.29,1.02,9.747,0.03,8.851,0.019,,,10.115,0.07,9.139,0.23,8.354,0.09,,,7.216,0.024,6.731,0.02,6.623,0.024,,,,,,,,,4851.0,96.0,96.0,2.708,0.15,0.3,-0.067,0.15,0.3,10.114,1.182,1.545,1.872,0.344,0.758,0.002,0.001,0.0008585,304.0,94.23,94.23,0.03,0.01,0.007,,,,0.008
HIP43454,132.756097,15.350657,26.1,0.51,6.36,5.714,0.669,0.006,5655.88389355,3.59796162486,1.97893726894,857.222372211,3.44320253669,132.756097,15.350657,6.36,16.0,75528.0,field,211658473,132.756096,15.350656,0,6.232,43454.0,1393-1968-1,527-048194,,,STAR,BV,plx,-114.91,0.67,74.83,0.41,26.1,0.51,7.017,0.016,6.361,0.01,,,,,,,,,,,,,,,,,,,,,,,,,5936.0,229.0,229.0,4.317,0.14,0.252,-0.068,0.15,0.24,1.185,0.386,0.248,1.049,0.121,0.145,0.592,0.473,0.332,38.31,1.149,1.149,0.006,0.002,0.002,,,,0.0007334
HIP43463,132.795025,15.999429,6.32,0.58,7.38,6.599,0.911,0.014,5023.86668136,28.626784877,7.07481047748,72.8073056686,1.38358539141,132.795025,15.999429,7.38,5.0,75558.0,field,211706383,132.795024,15.999429,1,8.092,43463.0,1393-2816-1,530-048635,08511081+1559576,,STAR,gri,plx,-36.32,0.62,13.33,0.45,6.32,0.58,8.322,0.019,7.385,0.012,,,9.607,0.11,8.581,0.15,7.443,0.11,,,5.685,0.024,5.204,0.018,5.1,0.024,,,,,,,,,4811.0,96.0,96.0,2.664,0.13,0.234,-0.024,0.15,0.24,10.631,0.604,0.791,1.792,0.486,0.681,0.002,0.000687,0.0006869,208.5,10.31,10.31,0.027,0.006,0.006,,,,0.009
HIP43502,132.911353,25.232919,3.66,1.27,8.88,8.172,0.813,0.022,5248.82189708,19.8254168861,5.39376755032,125.212755359,1.69740542697,132.911353,25.232919,8.88,16.0,,field,212226869,132.911356,25.232922,0,8.915,43502.0,1946-1134-1,577-043612,08513874+2513587,,STAR,gri,plx,-71.75,1.76,-86.86,1.26,3.66,1.27,9.716,0.024,8.927,0.015,,,9.977,0.03,9.177,0.04,8.46,0.06,,,7.208,0.02,6.74,0.018,6.674,0.021,,,,,,,,,4929.0,59.0,79.0,2.779,0.15,0.35,-0.11,0.1,0.3,9.627,1.375,1.852,1.95,0.33,0.858,0.002,0.002,0.001,273.2,94.81,94.81,0.03,0.007,0.006,,,,0.008
HIP43538,133.012047,22.007531,3.59,1.46,9.01,8.117,1.055,0.05,4740.27443795,22.6382916663,7.06674774264,69.1632302861,1.78547224289,133.012047,22.007531,9.01,5.0,,field,212099299,133.012047,22.007535,0,8.936,43538.0,1399-564-1,561-047863,08520289+2200271,,STAR,gri,,2.16,1.87,-16.59,1.28,3.59,1.46,10.063,0.042,8.977,0.023,,,10.07,0.03,9.088,0.04,8.45,0.06,,,7.164,0.019,6.662,0.024,6.527,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003131
HIP43540,133.014881,18.894292,2.64,0.91,8.55,7.523,1.169,0.031,4537.1052918,72.2490233308,13.7804376178,19.3104450512,0.658019634349,133.014881,18.894292,8.55,5.0,75699.0,field,211911216,133.014881,18.894292,0,8.547,43540.0,1396-1944-1,545-047367,08520357+1853396,,STAR,gri,,-7.26,0.97,-37.09,0.74,2.64,0.91,9.739,0.036,8.528,0.018,,,9.87,0.08,9.053,0.06,7.98,0.04,,,6.629,0.02,6.147,0.033,5.95,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004
HIP43547,133.035564,15.289588,4.93,1.06,8.97,8.126,0.952,0.037,4938.67074368,11.1543755384,4.56990550301,160.87375984,2.43423459639,133.035564,15.289588,8.97,16.0,,field,211654112,133.035561,15.289587,0,8.961,43547.0,1393-1898-1,527-048243,08520852+1517225,,STAR,gri,plx,-4.79,1.39,-12.28,0.93,4.93,1.06,9.904,0.035,8.976,0.023,,,10.19,0.06,9.021,0.02,8.435,0.01,,,7.324,0.019,6.917,0.02,6.763,0.017,,,,,,,,,4790.0,47.0,67.0,2.805,0.324,0.18,0.148,0.08,0.08,9.173,2.112,3.595,2.037,0.292,0.39,0.003,0.006,0.001,202.8,43.61,43.61,0.031,0.01,0.007,,,,0.003
HIP43569,133.099755,13.233435,11.54,0.83,7.84,6.985,0.99,0.02,4863.2380898,6.0097105347,3.4592380428,265.491096395,3.1510290441,133.099755,13.233435,7.84,16.0,75784.0,host,211506655,133.099756,13.233436,0,9.244,43569.0,817-1748-1,517-048389,08522396+1314005,,STAR,gri,plx,-120.48,0.88,-87.99,0.71,11.54,0.83,8.88,0.022,7.861,0.014,,,12.422,0.03,11.594,0.04,7.882,0.06,,,6.092,0.023,5.626,0.02,5.502,0.024,,,,,,,,,4905.0,78.0,58.0,3.433,0.144,0.144,0.009,0.06,0.22,3.561,0.613,0.71,1.293,0.159,0.191,0.028,0.02,0.01,86.66,6.233,6.233,0.014,0.005,0.003,,,,0.017
HIP43613,133.24475,16.356874,4.84,0.85,7.83,6.947,1.003,0.017,4838.091683,34.9633085726,8.43068394458,50.8447682519,1.25422680822,133.24475,16.356874,7.83,5.0,75842.0,field,211732180,133.244751,16.356873,0,8.365,43613.0,1393-2413-1,532-047200,08525874+1621248,,STAR,gri,plx,-8.5,0.94,-30.26,0.93,4.84,0.85,8.79,0.02,7.806,0.013,,,9.842,0.03,8.854,0.04,7.732,0.07,,,6.11,0.02,5.634,0.021,5.514,0.018,,,,,,,,,4741.0,75.0,75.0,2.679,0.126,0.147,0.118,0.08,0.12,10.595,0.979,1.452,1.892,0.376,0.313,0.002,0.0008718,0.0005681,206.6,36.29,36.29,0.029,0.006,0.007,,,,0.005
HIP43614,133.246943,23.295669,1.77,1.53,9.51,8.552,1.193,0.063,4495.7868529,68.2294751495,13.6388993481,19.517842408,0.749866331809,133.246943,23.295669,9.51,5.0,,field,212161885,133.246946,23.295668,1,9.269,43614.0,1943-893-1,567-043893,08525927+2317442,,STAR,gri,plx,-6.24,1.51,-1.53,1.38,1.77,1.53,10.771,0.069,9.484,0.03,,,10.465,0.03,9.443,0.05,8.757,0.06,,,7.353,0.027,6.694,0.018,6.561,0.026,,,,,,,,,4345.0,70.0,70.0,1.81,0.315,0.567,-0.315,0.25,0.6,22.822,14.072,6.628,1.129,0.308,0.257,0.0001012,0.0001907,8.265e-05,565.0,488.4,488.4,0.035,0.01,0.007,,,,0.005
HIP43682,133.479312,20.918431,4.17,1.36,9.08,8.155,1.1,0.045,4658.52982077,16.4909939714,6.24497050804,85.555916126,2.18068027487,133.479312,20.918431,9.08,16.0,75961.0,field,212039652,133.479314,20.918431,0,9.129,43682.0,1400-1-1,555-045598,08535504+2055063,,STAR,gri,plx,1.96,1.42,-11.46,1.23,4.17,1.36,10.117,0.04,9.118,0.023,,,10.21,0.1,9.504,0.09,8.665,0.08,,,7.244,0.023,6.719,0.018,6.59,0.02,,,,,,,,,4761.0,97.0,97.0,2.548,0.3,0.18,-0.14,0.2,0.28,10.628,0.95,3.603,1.303,0.535,0.267,0.001,0.002,0.0003619,239.8,78.21,78.21,0.031,0.008,0.007,,,,0.005
HIP43683,133.480557,19.967133,6.07,0.96,6.68,5.991,0.701,0.006,5556.06544239,50.5450708351,7.68616025054,68.5197564986,0.595943455376,133.480557,19.967133,6.68,5.0,75974.0,field,211982221,133.480559,19.967133,1,6.516,43683.0,1397-178-1,550-046466,08535533+1958015,,STAR,BV,plx,-22.06,1.26,-5.36,1.01,6.07,0.96,7.384,0.016,6.668,0.01,,,,,,,,,,,5.261,0.037,,,4.786,0.017,,,,,,,,,5334.0,106.0,64.0,2.471,0.67,0.05,-1.004,0.99,0.15,9.0,0.555,2.328,0.892,0.94,0.018,0.001,0.006,0.0001634,164.7,26.06,26.06,0.02,0.006,0.005,,,,0.0009777
HIP43915,134.19162,17.481351,11.22,0.7,7.62,6.79,0.966,0.015,4910.52220491,7.58454905833,3.81166091626,223.855818416,2.8699642846,134.19162,17.481351,7.62,5.0,76445.0,field,211811597,134.191623,17.48135,1,7.48,43915.0,1394-168-1,538-048549,08564599+1728530,,STAR,BV,plx,32.18,1.0,-20.33,0.59,11.22,0.7,8.593,0.018,7.639,0.012,,,,,,,,,,,5.852,0.027,5.382,0.02,5.284,0.024,,,,,,,,,4978.0,119.0,119.0,3.377,0.174,0.174,-0.228,0.25,0.25,3.584,0.785,0.644,1.187,0.299,0.166,0.024,0.015,0.011,98.4,2.952,2.952,0.015,0.006,0.005,,,,0.006
HIP43950,134.271443,21.860446,5.18,0.71,7.04,6.229,0.91,0.015,5026.00108824,58.2344631516,10.082067868,37.822504448,0.611648798726,134.271443,21.860446,7.04,5.0,76475.0,field,212091650,134.271444,21.860447,1,6.81,43950.0,1400-915-1,560-047298,08570513+2151375,,STAR,BV,plx,-0.13,0.76,-3.02,0.62,5.18,0.71,7.963,0.017,7.04,0.011,,,,,,,,,,,5.474,0.023,,,4.903,0.021,,,,,,,,,4978.0,60.0,101.0,2.512,0.391,0.138,-0.534,0.36,0.3,9.127,1.266,1.112,1.011,1.112,0.109,0.001,0.002,0.0004223,150.4,6.813,6.813,0.02,0.005,0.003,,,,0.0008127
HIP43957,134.284503,17.14375,9.34,0.46,6.17,5.371,1.001,0.001,4841.94043116,43.2199881419,9.35854154147,41.9445045627,1.02173438115,134.284503,17.14375,6.17,5.0,76508.0,field,211787912,134.284504,17.143749,0,5.969,43957.0,1394-2120-1,536-048913,,,STAR,BV,,-38.61,0.46,-33.61,0.3,9.34,0.46,7.17,0.016,6.146,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002371
HIP44000,134.395453,16.233654,3.65,0.87,7.92,7.051,1.011,0.022,4822.76630723,57.0694939171,10.8396262842,31.8455203585,0.731464322282,134.395453,16.233654,7.92,16.0,76573.0,field,211723555,134.395454,16.233643,0,7.712,44000.0,1394-1163-1,532-047412,08573488+1614013,,STAR,BV,plx,66.44,1.17,-56.82,0.67,3.65,0.87,8.936,0.023,7.894,0.014,,,,,,,,,,,6.11,0.019,5.614,0.016,5.499,0.023,,,,,,,,,4851.0,97.0,97.0,2.622,0.17,0.238,-0.067,0.15,0.36,10.745,1.451,1.278,1.842,0.551,0.771,0.001,0.001,0.0004432,274.0,65.3,65.3,0.028,0.007,0.006,,,,0.01
HIP44102,134.73803,12.969917,3.1,1.18,8.85,8.012,0.993,0.03,4857.40747936,32.9564966094,8.12018978922,54.6999642726,1.30680846917,134.73803,12.969917,8.85,5.0,76831.0,field,211488297,134.73802,12.96992,0,8.828,44102.0,817-2371-1,515-049235,08585712+1258116,,STAR,gri,,-9.55,1.14,-1.05,0.77,3.1,1.18,9.836,0.03,8.847,0.017,,,10.075,0.34,9.159,0.13,8.293,0.07,,,7.061,0.021,6.594,0.018,6.481,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001
HIP44125,134.794702,18.060212,3.19,1.08,8.79,7.875,1.012,0.037,4820.8583033,33.5635476171,8.31936025609,51.9398087437,1.30895341529,134.794702,18.060212,8.79,16.0,,field,211853024,134.794705,18.060211,0,8.777,44125.0,1397-1113-1,541-047555,08591072+1803368,,STAR,gri,,24.24,1.84,-16.5,0.93,3.19,1.08,9.761,0.036,8.753,0.02,,,9.998,0.03,9.003,0.04,8.254,0.07,,,7.05,0.023,6.572,0.017,6.457,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001902
HIP44141,134.849977,16.664877,3.08,0.96,8.99,8.033,1.127,0.042,4610.51244159,33.7997981345,9.12774274961,41.9922638988,1.4327535825,134.849977,16.664877,8.99,16.0,76867.0,field,211754051,134.84997,16.664878,0,8.923,44141.0,1394-98-1,534-047860,08592400+1639536,,STAR,gri,,-18.53,1.08,2.57,0.78,3.08,0.96,10.098,0.043,8.997,0.022,,,10.411,0.2,9.093,0.12,8.286,0.04,,,7.001,0.019,6.454,0.023,6.322,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006
HIP44408,135.688155,21.519238,3.87,0.85,8.09,7.249,0.99,0.02,4863.2380898,42.4466325523,9.19338170571,43.5245710789,1.02855482509,135.688155,21.519238,8.09,16.0,77377.0,field,212073459,135.688155,21.519238,0,8.491,44408.0,1400-2301-1,558-047688,09024514+2131093,,STAR,gri,,-3.16,1.06,3.63,1.21,3.87,0.85,9.1,0.025,8.11,0.016,,,9.704,0.09,8.881,0.01,7.972,0.13,,,6.353,0.032,5.852,0.023,5.76,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006534
HIP44489,135.968831,18.685869,4.44,1.22,8.53,7.65,1.01,0.029,4824.67599226,21.9666612965,6.7197088415,77.1586567878,1.76691485057,135.968831,18.685869,8.53,5.0,77571.0,field,211897204,135.968831,18.68587,1,8.365,44489.0,1397-1761-1,544-047442,09035251+1841091,,STAR,BV,plx,-7.76,1.88,-55.67,1.35,4.44,1.22,9.543,0.032,8.538,0.019,,,,,,,,,,,6.717,0.021,6.212,0.021,6.119,0.027,,,,,,,,,4848.0,96.0,96.0,2.697,0.175,0.28,-0.091,0.15,0.36,10.05,1.331,1.881,1.749,0.41,0.739,0.002,0.001,0.0008879,225.2,61.89,61.89,0.029,0.008,0.007,,,,0.01
HIP44501,135.997869,25.041385,4.58,1.16,9.35,8.462,1.001,0.043,4841.94043116,9.60831958542,4.41254930044,168.552222053,2.65432739002,135.997869,25.041385,9.35,16.0,,field,251404378,135.997869,25.041384,0,9.227,44501.0,1953-1666-1,576-045146,09035949+2502291,,STAR,gri,plx,-2.81,1.26,-3.4,1.02,4.58,1.16,10.305,0.046,9.312,0.024,,,10.288,0.03,9.346,0.04,8.773,0.02,,,7.649,0.035,7.16,0.026,7.036,0.02,,,,,,,,,4582.0,72.0,72.0,2.472,0.245,0.175,0.002,0.15,0.24,10.965,2.488,2.896,1.291,0.239,0.199,0.0009128,0.001,0.0003875,218.3,55.3,55.3,0.034,0.011,0.007,AAA-111-111-000-0-0,95.6,,0.004
HIP44529,136.092314,18.279016,5.38,1.49,9.19,8.606,0.58,0.02,5964.62210806,5.94818017472,2.28786779396,688.305737227,2.84391137833,136.092314,18.279016,9.19,5.0,77661.0,field,211868956,136.092319,18.279017,0,9.101,44529.0,1404-1372-1,542-047175,09042214+1816446,,STAR,BV,plx,-14.83,1.68,-0.87,1.62,5.38,1.49,9.757,0.033,9.195,0.025,,,,,,,,,,,8.073,0.024,7.798,0.016,7.745,0.031,,,,,,,,,6104.0,179.0,179.0,3.886,0.144,0.12,-0.024,0.15,0.18,2.042,0.541,0.363,1.343,0.178,0.178,0.13,0.102,0.05,185.9,51.48,51.48,0.022,0.006,0.005,,,,0.004
HIP44581,136.242085,13.343948,4.72,0.72,7.37,6.511,0.995,0.011,4853.52974332,55.6815375754,10.5717030069,33.550362454,0.73970999317,136.242085,13.343948,7.37,5.0,77776.0,field,211514553,136.242085,13.343948,1,7.198,44581.0,818-1975-1,517-048873,09045809+1320384,,STAR,BV,plx,-17.63,0.74,-21.05,0.48,4.72,0.72,8.37,0.017,7.369,0.011,,,,,,,,,,,5.601,0.029,5.142,0.038,4.966,0.026,,,,,,,,,4817.0,144.0,115.0,2.654,0.1,0.24,-0.024,0.15,0.21,11.109,0.713,0.67,2.007,0.455,0.729,0.001,0.000514,0.0005524,220.6,13.3,13.3,0.025,0.007,0.005,,,,0.005
HIP44749,136.797996,18.143206,3.7,0.96,8.16,7.201,1.115,0.017,4631.7674274,49.66262442,10.962915827,30.0480337721,1.00100862033,136.797996,18.143206,8.16,16.0,78142.0,field,211859061,136.797998,18.143202,0,8.326,44749.0,1404-1572-1,541-047829,09071151+1808356,,STAR,gri,,-33.71,1.16,-38.39,1.05,3.7,0.96,9.271,0.021,8.167,0.012,,,9.835,0.03,8.691,0.01,7.679,0.1,,,6.256,0.024,5.732,0.029,5.589,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001232
HIP44792,136.931413,21.00902,2.98,1.03,8.74,7.803,1.089,0.034,4678.30086504,43.6567930845,10.0752157282,35.4529879321,1.11108132038,136.931413,21.00902,8.74,16.0,78236.0,field,212044853,136.931416,21.009021,0,8.745,44792.0,1407-1546-1,556-047050,09074353+2100324,,STAR,gri,,-9.17,1.4,-28.69,0.77,2.98,1.03,9.787,0.036,8.701,0.02,,,9.901,0.19,9.109,0.17,8.249,0.25,,,6.918,0.019,6.415,0.038,6.278,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003
HIP44843,137.05234,11.948198,11.18,0.71,7.29,6.46,0.982,0.01,4878.87060032,10.534910058,4.55073505763,160.322762038,2.53220901775,137.05234,11.948198,7.29,16.0,78376.0,field,211420502,137.052346,11.948203,0,7.119,44843.0,815-207-1,510-049421,09081256+1156535,,STAR,BV,plx,-88.88,0.85,-81.26,0.31,11.18,0.71,8.287,0.016,7.29,0.01,,,,,,,,,,,5.609,0.023,5.135,0.023,5.046,0.021,,,,,,,,,4935.0,100.0,80.0,3.291,0.168,0.168,-0.226,0.25,0.3,4.046,0.763,0.642,1.251,0.229,0.275,0.018,0.011,0.008,89.45,5.68,5.68,0.014,0.005,0.004,,,,0.000765
HIP44862,137.110597,13.220447,4.09,0.93,9.2,4.653,1.113,0.032,4635.32304573,15.5618353467,6.1273844504,88.2118471987,2.25861654004,137.110597,13.220447,9.2,5.0,78420.0,field,211505754,137.110598,13.220448,1,8.959,44862.0,818-577-1,517-049021,,,STAR,BV,plx,-26.98,1.15,-52.37,0.43,4.09,0.93,10.229,0.031,9.151,0.016,,,10.223,0.15,,,,,,,,,,,,,,,,,,,,,4755.0,95.0,76.0,2.693,0.245,0.294,-0.14,0.16,0.2,8.98,2.093,2.822,1.282,0.602,0.232,0.002,0.003,0.001,244.5,55.6,55.6,0.029,0.008,0.006,,,,0.000858
HIP44870,137.142461,16.701681,4.1,0.69,7.58,6.67,1.05,0.02,4749.50868421,64.4462141945,11.8769811744,26.5156859438,0.643919283599,137.142461,16.701681,7.58,16.0,78419.0,field,211756677,137.14246,16.701681,0,7.392,44870.0,1401-855-1,534-048192,09083418+1642060,,STAR,BV,plx,-16.06,0.89,-9.32,0.36,4.1,0.69,8.638,0.018,7.579,0.011,,,,,,,,,,,5.766,0.024,5.321,0.034,5.133,0.02,,,,,,,,,4852.0,144.0,115.0,2.656,0.13,0.208,-0.041,0.15,0.21,10.903,1.512,1.118,2.154,0.44,0.881,0.001,0.0008236,0.0006053,243.9,41.05,41.05,0.026,0.008,0.005,,,,9.944e-05
HIP45033,137.586908,21.996419,8.86,0.42,6.04,5.302,0.89,0.01,5069.3117605,49.1722007697,9.10681588119,46.0168888483,0.777168609435,137.586908,21.996419,6.04,16.0,78715.0,field,251360981,137.586908,21.996418,0,5.795,45033.0,1407-809-1,560-047749,,,STAR,BV,plx,2.64,0.49,5.37,0.21,8.86,0.42,6.897,0.015,6.011,0.01,,,,,,,,,,,,,,,,,,,,,,,,,4990.0,79.0,59.0,2.944,0.426,0.355,-0.711,0.35,0.25,5.356,2.02,1.708,0.932,0.232,0.045,0.006,0.014,0.004,112.9,5.35,5.35,0.018,0.003,0.004,,,,0.0004888
HIP45327,138.565985,18.25766,4.98,0.84,8.71,8.146,0.571,0.018,5998.4330721,10.7543134628,3.04172848941,408.520889916,2.1961467138,138.565985,18.25766,8.71,16.0,79374.0,field,211867358,138.565987,18.257659,0,8.639,45327.0,1404-1641-1,542-047528,09141583+1815275,,STAR,BV,plx,-22.51,1.26,-14.88,0.45,4.98,0.84,9.268,0.019,8.725,0.014,,,,,,,,,,,7.677,0.02,7.444,0.026,7.396,0.021,,,,,,,,,6345.0,188.0,188.0,3.787,0.07,0.112,0.008,0.1,0.1,2.677,0.418,0.264,1.624,0.155,0.111,0.081,0.029,0.024,200.8,33.87,33.87,0.024,0.006,0.006,,,,0.0007418
HIP45777,140.006342,15.937447,3.65,1.06,8.64,7.782,1.0,0.015,4843.8674713,29.0622824957,7.6680527264,60.6599092175,1.45146432228,140.006342,15.937447,8.64,16.0,80410.0,field,251293664,140.006342,15.937448,0,8.467,45777.0,1402-271-1,530-049779,09200152+1556148,,STAR,BV,,-15.06,1.03,-0.44,0.59,3.65,1.06,9.596,0.024,8.63,0.015,,,,,,,,,,,6.935,0.024,6.473,0.017,6.388,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,10.0,,0.004
HIP45826,140.157887,19.090631,5.5,0.52,7.24,6.434,0.924,0.011,4996.37520961,42.6982643918,8.73574113979,49.0399922885,0.941813447471,140.157887,19.090631,7.24,16.0,80495.0,field,251326747,140.157887,19.090631,0,7.003,45826.0,1405-1155-1,546-048114,09203789+1905264,,STAR,BV,plx,-28.96,0.71,-11.66,0.3,5.5,0.52,8.172,0.017,7.237,0.011,,,,,,,,,,,5.55,0.019,,,4.977,0.018,,,,,,,,,4959.0,58.0,78.0,2.428,0.432,0.048,-0.479,0.32,0.2,10.177,0.504,1.289,1.067,1.143,0.14,0.0009345,0.002,8.615e-05,181.8,17.19,17.19,0.024,0.005,0.006,AEA-111-111-000-0-0,20.3,,0.005
HIP50353,154.231629,8.245176,4.98,1.21,8.83,7.926,0.998,0.03,4847.72693485,13.0776524375,5.13562534156,127.435295888,2.3161467138,154.231629,8.245176,8.83,14.0,89112.0,field,248696061,154.231631,8.245176,1,8.777,50353.0,837-749-1,492-053713,10165559+0814427,,STAR,gri,plx,-9.13,0.95,-18.39,0.82,4.98,1.21,9.832,0.035,8.833,0.019,,,9.887,0.03,9.08,0.15,8.301,0.01,,,7.097,0.023,6.63,0.04,6.522,0.021,,,,,,,,,4828.0,118.0,99.0,2.824,0.3,0.42,-0.152,0.2,0.36,7.818,2.631,3.18,1.266,0.653,0.272,0.003,0.006,0.002,200.8,48.79,48.79,0.031,0.013,0.009,AAA-111-111-000-0-0,74.2,,0.008
HIP50501,154.686932,6.677624,3.89,1.13,8.35,7.437,1.034,0.028,4779.28844367,34.6418132399,8.5996060912,48.4642114286,1.29974800663,154.686932,6.677624,8.35,14.0,89365.0,field,248631885,154.686932,6.677624,0,8.343,50501.0,251-871-1,484-049626,10184486+0640395,,STAR,gri,,10.58,0.98,-16.52,0.65,3.89,1.13,9.356,0.03,8.315,0.018,,,9.806,0.03,8.688,0.04,7.715,0.06,,,6.589,0.024,6.081,0.038,5.951,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAA-111-111-000-0-0,14.4,,0.007
