HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP52519,,6122.0,219.0,182.0,3.967,0.144,0.12,-0.03,0.15,0.21,EPIC
HIP52528,92994.0,4553.0,90.0,72.0,2.462,0.252,0.105,0.088,0.12,0.15,EPIC
HIP52591,93101.0,4553.0,54.0,54.0,2.634,0.12,0.192,0.172,0.15,0.15,EPIC
HIP52598,93139.0,5220.0,156.0,156.0,3.775,0.055,0.099,-0.133,0.28,0.16,EPIC
HIP52616,93169.0,4862.0,97.0,97.0,2.833,0.07,0.21,-0.038,0.12,0.18,EPIC
HIP52619,,,,,,,,,,,EPIC
HIP52660,93244.0,4663.0,74.0,46.0,2.918,0.108,0.108,-0.003,0.15,0.09,EPIC
HIP52744,93363.0,4742.0,114.0,114.0,2.594,0.252,0.216,-0.031,0.16,0.24,EPIC
HIP52838,93567.0,,,,,,,,,,EPIC
HIP53014,93928.0,4839.0,77.0,57.0,2.771,0.078,0.091,0.077,0.1,0.1,EPIC
HIP53021,93967.0,6525.0,275.0,196.0,3.623,0.096,0.06,0.017,0.1,0.08,EPIC
HIP53056,94030.0,4704.0,112.0,112.0,2.474,0.168,0.105,-0.042,0.15,0.18,EPIC
HIP53135,94164.0,4967.0,184.0,153.0,3.018,0.44,0.528,-0.216,0.25,0.5,EPIC
HIP53185,,4417.0,71.0,107.0,2.256,0.18,0.468,0.157,0.1,1.98,EPIC
HIP53200,94251.0,5726.0,452.0,452.0,3.743,0.085,0.153,-0.026,0.15,0.15,EPIC
HIP53233,94318.0,4868.0,117.0,78.0,2.94,0.132,0.11,-0.144,0.16,0.48,EPIC
HIP53315,94460.0,5090.0,92.0,216.0,2.79,0.328,0.048,-1.109,1.11,0.15,EPIC
HIP53430,,6005.0,97.0,97.0,3.977,0.198,0.165,-0.021,0.15,0.21,EPIC
HIP53431,,4901.0,181.0,121.0,2.919,0.51,0.51,-0.222,0.25,0.4,EPIC
HIP53679,,4792.0,94.0,94.0,2.417,0.261,0.145,-0.288,0.25,0.4,EPIC
HIP53872,,5977.0,141.0,141.0,4.009,0.304,0.19,-0.125,0.2,0.32,EPIC
HIP54117,,,,,,,,,,,EPIC
HIP54262,,5270.0,106.0,106.0,3.654,0.125,1.15,-0.162,0.24,0.64,EPIC
HIP54281,96310.0,5885.0,176.0,140.0,3.78,0.09,0.108,-0.017,0.12,0.18,EPIC
HIP54305,96362.0,,,,,,,,,,EPIC
HIP54336,96436.0,4940.0,49.0,49.0,3.436,0.189,0.162,-0.064,0.1,0.14,EPIC
