5.1423400000, 56.5569250000,       6.73, []
5.2089870000, 18.4821260000,       7.65, []
5.2678270000, -2.9096000000,       6.92, []
5.3962490000, 38.1871210000,       6.86, []
5.5416770000, -61.2974120000,       7.82, []
5.5721260000, 37.7612090000,       7.50, []
5.5886800000, -50.9924860000,       6.68, []
5.6930580000, -9.2308530000,       7.94, []
5.8542460000, -18.8916190000,       7.11, []
5.8884400000, -54.0546300000,       7.61, []
5.9160730000, -3.0581420000,       7.78, []
5.9281920000, -62.4250720000,       7.59, []
5.9876330000, 3.7610030000,       7.89, []
6.0554050000, -23.4033170000,       7.83, []
6.0722800000, 1.5561510000,       7.78, []
6.1863810000, 20.0707950000,       7.87, []
6.2348890000, -41.8860300000,       7.63, []
6.3421140000, -39.2603690000,       6.91, []
6.3525010000, 39.8297960000,       7.73, []
6.4029390000, -19.9341400000,       7.70, []
6.4094680000, -51.4029430000,       7.58, []
6.4377940000, -77.2542460000,       2.82, []
6.4943430000, 21.0242570000,       7.50, []
6.5558360000, -39.6493790000,       7.11, []
6.7726290000, -5.0038060000,       7.05, []
6.8023110000, 25.5785150000,       7.49, []
6.8344130000, 2.8141090000,       7.18, []
6.8422740000, -28.2431590000,       7.01, []
7.0092600000, -52.9523070000,       7.67, []
7.0588090000, -29.0402700000,       6.75, []
7.0693590000, 28.0605070000,       7.81, []
7.1714620000, -54.4311480000,       7.79, []
7.1796980000, -50.5328580000,       6.26, []
7.2131480000, 8.3839020000,       7.75, []
7.3797630000, 24.8809880000,       7.78, []
7.4005440000, 62.0641520000,       7.00, []
7.4617060000, 9.6977750000,       7.88, []
7.4623260000, -0.3208320000,       7.83, []
7.6161570000, -15.1239560000,       7.97, []
7.6221180000, -39.5185430000,       6.60, []
7.7294970000, 77.0194030000,       6.18, []
7.7665500000, 55.7026140000,       6.57, []
7.7737870000, -48.6410240000,       7.73, []
7.8466760000, -45.9015440000,       7.83, []
7.8568370000, 33.5816470000,       5.88, []
7.9227680000, 12.9135040000,       7.25, []
7.9472850000, 45.9262960000,       7.48, []
7.9507120000, 17.2793470000,       7.90, []
8.0292930000, 53.0027880000,       7.92, []
8.1478580000, 20.2943190000,       5.38, []
8.1641090000, -25.3597140000,       6.72, []
8.1647770000, 23.1934250000,       6.84, []
8.2933120000, 54.8949850000,       5.93, []
8.3851060000, -38.1133780000,       7.27, []
8.4759500000, 3.3198780000,       7.47, []
8.4997590000, -57.0851380000,       7.98, []
8.5449800000, 10.2992000000,       6.76, []
8.6241840000, -4.5465280000,       7.02, []
8.6684530000, -37.9960070000,       7.42, []
8.7306820000, 13.3711400000,       6.39, []
8.7581170000, -26.1257170000,       7.62, []
8.8889120000, -54.8218720000,       6.04, []
8.9472130000, -73.2219760000,       7.84, []
9.0131530000, -14.9730350000,       6.45, []
9.0408480000, 24.0254340000,       7.23, []
9.0617670000, 57.3076860000,       7.61, []
9.1012760000, 8.8741240000,       7.85, []
9.2153840000, -11.1273560000,       7.93, []
9.2799580000, 24.0141350000,       6.18, []
9.3260270000, -54.3938180000,       6.40, []
9.3776130000, 85.0927150000,       7.95, []
9.3800750000, 55.2253520000,       7.60, []
9.4197420000, 21.0997310000,       6.84, []
9.5281480000, -27.6211410000,       7.74, []
